"TimeCreated"	"Id"	"LevelDisplayName"	"ProviderName"	"Message"
"2026/01/22 21:19:27"	"1014"	"Warning"	"Microsoft-Windows-DNS-Client"	"Name resolution for the name _ldap._tcp.Stellenbosch._sites.dc._msdcs.home timed out after none of the configured DNS servers responded. Client PID 1376."
"2026/01/22 21:19:20"	"8020"	"Warning"	"Microsoft-Windows-DNS-Client"	"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {AF6B9F8D-6E08-4D5E-90AF-D1C6C2922059}
           Host Name : Scott5411
           Primary Domain Suffix : imqs.local
           DNS server list :
             	192.168.4.47
           Sent update to server : <?>
           IP Address(es) :
             192.168.254.75

The reason the system could not register these RRs during the update request was because of a system problem. You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
"2026/01/22 21:19:10"	"1014"	"Warning"	"Microsoft-Windows-DNS-Client"	"Name resolution for the name cis.td.security.comodo.com timed out after none of the configured DNS servers responded. Client PID 4888."
"2026/01/22 20:53:46"	"5719"	"Error"	"NETLOGON"	"This computer was not able to set up a secure session with a domain controller in domain IMQS due to the following: 
An internal error occurred. 
This may lead to authentication problems. Make sure that this computer is connected to the network. If the problem persists, please contact your domain administrator.  

ADDITIONAL INFO 
If this computer is a domain controller for the specified domain, it sets up the secure session to the primary domain controller emulator in the specified domain. Otherwise, this computer sets up the secure session to any domain controller in the specified domain."
"2026/01/22 20:53:14"	"1014"	"Warning"	"Microsoft-Windows-DNS-Client"	"Name resolution for the name _ldap._tcp.Stellenbosch._sites.dc._msdcs.home timed out after none of the configured DNS servers responded. Client PID 1376."
"2026/01/22 20:21:33"	"1129"	"Error"	"Microsoft-Windows-GroupPolicy"	"The processing of Group Policy failed because of lack of network connectivity to a domain controller. This may be a transient condition. A success message would be generated once the machine gets connected to the domain controller and Group Policy has successfully processed. If you do not see a success message for several hours, then contact your administrator."
"2026/01/22 20:13:04"	"1129"	"Error"	"Microsoft-Windows-GroupPolicy"	"The processing of Group Policy failed because of lack of network connectivity to a domain controller. This may be a transient condition. A success message would be generated once the machine gets connected to the domain controller and Group Policy has successfully processed. If you do not see a success message for several hours, then contact your administrator."
"2026/01/22 20:13:04"	"1129"	"Error"	"Microsoft-Windows-GroupPolicy"	"The processing of Group Policy failed because of lack of network connectivity to a domain controller. This may be a transient condition. A success message would be generated once the machine gets connected to the domain controller and Group Policy has successfully processed. If you do not see a success message for several hours, then contact your administrator."
"2026/01/22 20:13:04"	"5719"	"Error"	"NETLOGON"	"This computer was not able to set up a secure session with a domain controller in domain IMQS due to the following: 
We can't sign you in with this credential because your domain isn't available. Make sure your device is connected to your organization's network and try again. If you previously signed in on this device with another credential, you can sign in with that credential. 
This may lead to authentication problems. Make sure that this computer is connected to the network. If the problem persists, please contact your domain administrator.  

ADDITIONAL INFO 
If this computer is a domain controller for the specified domain, it sets up the secure session to the primary domain controller emulator in the specified domain. Otherwise, this computer sets up the secure session to any domain controller in the specified domain."
"2026/01/22 20:08:04"	"129"	"Warning"	"Microsoft-Windows-Time-Service"	"NtpClient was unable to set a domain peer to use as a time source because of discovery error. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: The entry is not found. (0x800706E1)"
